date,Inflation,GDP_g,Un_rate,Fed_rate,Cons
1960-01-01,1.4,4.9,5.1,3.93,5.4
1960-04-01,1.8,2.0,5.2,3.70,5.3
1960-07-01,1.4,2.5,5.5,2.94,3.6
1960-10-01,1.4,0.9,6.3,2.30,3.5
1961-01-01,1.5,-0.7,6.8,2.00,2.5
1961-04-01,0.9,1.6,7.0,1.73,2.2
1961-07-01,1.2,3.0,6.8,1.68,3.1
1961-10-01,0.7,6.4,6.2,2.40,4.7
1962-01-01,0.9,7.6,5.6,2.46,6.1
1962-04-01,1.3,6.7,5.5,2.61,6.2
1962-07-01,1.2,6.0,5.6,2.85,6.4
1962-10-01,1.3,4.3,5.5,2.92,6.0
1963-01-01,1.2,3.6,5.8,2.97,5.4
1963-04-01,1.0,3.8,5.7,2.96,4.9
1963-07-01,1.4,4.8,5.5,3.33,5.7
1963-10-01,1.4,5.2,5.6,3.45,5.2
1964-01-01,1.5,6.3,5.5,3.46,6.8
1964-04-01,1.5,6.1,5.2,3.49,7.7
1964-07-01,1.1,5.5,5.0,3.46,8.1
1964-10-01,1.3,5.2,5.0,3.58,7.5
1965-01-01,1.2,5.5,4.9,3.97,7.5
1965-04-01,1.6,5.7,4.7,4.08,7.1
1965-07-01,1.7,6.4,4.4,4.07,7.1
1965-10-01,1.8,8.5,4.1,4.17,9.7
1966-01-01,2.4,8.5,3.9,4.56,9.4
1966-04-01,2.7,7.5,3.8,4.91,8.9
1966-07-01,3.3,6.1,3.8,5.41,8.6
1966-10-01,3.6,4.5,3.7,5.56,6.6
1967-01-01,2.9,2.9,3.8,4.82,5.2
1967-04-01,2.6,2.6,3.8,3.99,5.9
1967-07-01,2.7,2.8,3.8,3.89,5.4
1967-10-01,3.0,2.7,3.9,4.17,5.7
1968-01-01,3.7,3.8,3.7,4.79,8.4
1968-04-01,4.1,5.5,3.6,5.98,9.2
1968-07-01,4.5,5.3,3.5,5.94,10.8
1968-10-01,4.6,5.0,3.4,5.92,10.9
1969-01-01,4.9,4.5,3.4,6.57,9.5
1969-04-01,5.5,3.1,3.4,8.33,8.8
1969-07-01,5.5,3.0,3.6,8.98,7.6
1969-10-01,5.8,2.1,3.6,8.94,8.0
1970-01-01,6.2,0.3,4.2,8.57,7.6
1970-04-01,6.0,0.2,4.8,7.88,7.2
1970-07-01,5.7,0.4,5.2,6.70,7.4
1970-10-01,5.6,-0.2,5.8,5.57,6.4
1971-01-01,4.8,2.7,5.9,3.86,7.5
1971-04-01,4.3,3.1,5.9,4.56,8.1
1971-07-01,4.3,3.0,6.0,5.47,8.0
1971-10-01,3.5,4.4,5.9,4.75,9.3
1972-01-01,3.5,3.5,5.8,3.54,8.8
1972-04-01,3.2,5.3,5.7,4.30,9.3
1972-07-01,3.0,5.4,5.6,4.74,10.0
1972-10-01,3.3,6.9,5.4,5.14,10.9
1973-01-01,4.1,7.6,4.9,6.54,11.7
1973-04-01,5.6,6.3,4.9,7.82,11.0
1973-07-01,6.8,4.8,4.8,10.56,10.7
1973-10-01,8.4,4.0,4.8,10.00,9.2
1974-01-01,9.9,0.7,5.1,9.32,8.2
1974-04-01,10.5,-0.2,5.2,11.25,9.5
1974-07-01,11.5,-0.6,5.6,12.09,10.5
1974-10-01,12.0,-1.9,6.6,9.35,9.7
1975-01-01,11.1,-2.3,8.3,6.30,10.4
1975-04-01,9.5,-1.8,8.9,5.42,10.1
1975-07-01,8.7,0.8,8.5,6.16,10.4
1975-10-01,7.4,2.6,8.3,5.41,12.2
1976-01-01,6.3,6.2,7.7,4.83,12.7
1976-04-01,6.0,6.1,7.6,5.20,11.4
1976-07-01,5.6,5.0,7.7,5.28,10.6
1976-10-01,5.2,4.3,7.8,4.87,10.8
1977-01-01,5.9,3.2,7.5,4.66,10.6
1977-04-01,6.8,4.5,7.1,5.16,11.2
